ZZZ16450	MF618255	Rhodohalobacter barkolensis	15182	type
H6XSpe11	MF782427	"""Aliifodinibius salipaludis"""	WN023	type
H6XSedim	JQ923476	Fodinibius sediminis	YIM J21	type
H6XRoseu	JQ923475	Fodinibius roseus	YIM D15	type
H6XHalop	KR559733	Fodinibius halophilus	2W32	type
IT6Salin	HM153810	Fodinibius salinus		
I37Mengy	KC561141	Gracilimonas mengyeensis	YIM J14	type
I37Rosea	KC686334	Gracilimonas rosea	CL-KR2	type
HWTAlkal		Balneola alkaliphila	CM41_14b	type
H6XSpec7	LC198077	Fodinibius salicampi	KHM44	type
I37Spec4	KT985637	Gracilimonas amylolytica	LA399	type
I9KBac11	KU862657	Rhodohalobacter halophilus	JZ3C29	type
H6SSalip		Saccharomonospora saliphila	YIM 90502	type
LC198072	LC198072	Fodinibius saliphilus		type
1BSP15-2V2	MW811395	Fodinibius salsisoli	1BSP15-2V2	type
KU987442	KU987442	Gracilimonas halophila	WDS2C40	type
B_vulg	AQXH01000003		DSM 17893	type
G_trop	AQXG01000022	Gracilimonas tropica	DSM 19535	type
