EschColi	X80725	Escherichia coli	ATCC 11775	
PeuLurid	AJ581999	Pseudomonas lurida	DSM 15835	
PeuS4426	JYLN01000028	Pseudomonas	sp. DSM 29164	
PeudPoae	AJ492829	Pseudomonas poae	DSM 14936	
PeuTrivi	AJ492831	Pseudomonas trivialis	DSM 14937	
PeuKairo	LR031357	Pseudomonas kairouanensis	KC12	
PeuNabeu	LR130177	Pseudomonas nabeulensis	E10B	
PeuExtr2	AF405328	Pseudomonas extremorientalis	KMM 3447	
PeuSimia	AJ936933	Pseudomonas simiae	Oli	
PeuPalle	AY091527	Pseudomonas palleroniana	CFBP 4389	
PeuTolaa	AF255336	Pseudomonas tolaasii	LMG 2342	
PeuS7940	KX186970	Pseudomonas	sp. Speck C	
PeuAzoto	D84009	Pseudomonas azotoformans	IAM1603	
PeuS4427	JYLO01000038	Pseudomonas	sp. DSM 29167	
PeuCosta	AF374472	Pseudomonas costantinii	CFBP 5705	
PeuS7941	LC272923	Pseudomonas	sp. RD25	
PeuSalom	AY091528	Pseudomonas salomonii	CFBP 2022	
PeuS4952	HQ403142	Pseudomonas canadensis	2-92	
PeuCedr2	AJ492830	Pseudomonas cedrina subsp. fulgida	DSM 14938	
PeuCedri	AF064461	Pseudomonas cedrina	CFML 96-198	
PeuOrien	AF064457	Pseudomonas orientalis	CFML 96-170	
PeuFluor	D84013	Pseudomonas fluorescens	IAM 12022	
PeuAntar	AJ537601	Pseudomonas antarctica	CMS 35	
PeuMerid	AJ537602	Pseudomonas meridiana	CMS 38	
PeuKitag	LC500864	Pseudomonas kitaguniensis	MAFF 212408	
PeuPanac	AY787208	Pseudomonas panacis	CG20106	
PeuSynxa	D84025	Pseudomonas synxantha	IAM12356	
PeuLiban	AF057645	Pseudomonas libanensis	CIP 105460	
PeuFilde	MK859934	Pseudomonas fildesensis	KG01	
PeuVeron	AF064460	Pseudomonas veronii	CIP 104663	
PeuGrimo	AF268029	Pseudomonas grimontii	CFML 97-514	
PeuMargi	Z76663	Pseudomonas marginalis	LMG 2210	
PeuExtre	AJ583501	Pseudomonas extremaustralis	CT14-3	
Peu12500	LR777868	Pseudomonas	sp. P7	
PeuHaem3	VOIW01000000	Pseudomonas haemolytica	DSM 108987	
PeuRhode	AF064459	Pseudomonas rhodesiae	CIP 104664	
PeuMucid	D84017	Pseudomonas mucidolens	IAM12406	
PeuGessa	AF074384	Pseudomonas gessardii	CIP 105469	
PeuProt2	AJ537603	Pseudomonas proteolytica	CMS 64	
PeuBrenn	AF268968	Pseudomonas brenneri	CFML 97-391	
PeuSpec8	EU557337	Pseudomonas yamanorum	8H1	
PeuS5120	HQ844524	Pseudomonas	sp. HJ/4T	
Peu10133	HQ844525	Pseudomonas	sp. SJ/9/1	
Peu12503	MN698727	Pseudomonas	sp. 11K1	
PeuThive	AF100323	Pseudomonas thivervalensis	SBK26	
PeuBras2	EU391388	Pseudomonas brassicacearum *subsp.* neoaurantiaca	CIP 109457	
PeuBrass	AF100321	Pseudomonas brassicacearum	DBK11	
PeuMedit	AF386080	Pseudomonas mediterranea	CFBP 5447	
PeuBr185	AJ293858	Pseudomonas brassicacearum	CFBP 11706	
PeudLini	AY035996	Pseudomonas lini	CFBP 5737	
PeuCorru	D84012	Pseudomonas corrugata	ATCC 29736	
PeuKilon	AJ292426	Pseudomonas kilonensis	520-20	
PeuMigul	AF074383	Pseudomonas migulae	CIP 105470	
PeuArsen	FN645213	Pseudomonas arsenicoxydans	VC-1	
PeuPros4	LT629762	Pseudomonas prosekii	LMG 26867	
PeuFlor3	KY614191	Pseudomonas floridensis	GEV388	
PeuViri5	Z76671	Pseudomonas viridiflava	LMG 2352	
PeuAstur	FM865870	Pseudomonas asturiensis	LPPA 221	
PeuChlo2	AY509898	Pseudomonas chlororaphis *subsp.* aureofaciens	DSM 6698	
PeuChlor	DQ682655	Pseudomonas chlororaphis *subsp.* aurantiaca	NCIB 10068	
PeuChlo4	FJ168539	Pseudomonas chlororaphis *subsp.* piscium	JF3835	
PeuChlo3	Z76673	Pseudomonas chlororaphis	DSM 50083	
PeuFr185	KX186949	Pseudomonas fragi	TH39	
PeuFragi	AF094733	Pseudomonas fragi	ATCC 4973	
PeuS3678	LN624760	Pseudomonas endophytica	BSTT44	
PeuHell4	KP738715	Pseudomonas helleri	DSM 29165	
PeuPsych	AB041885	Pseudomonas psychrophila	E-3	
PeuWeih2	KP738720	Pseudomonas weihenstephanensis	DSM 29166	
PeuDecep	GU936597	Pseudomonas deceptionensis	M1	
PeuSaxo2	VFIO01000000	Pseudomonas saxonica	WS 5072	
PeuS6877	KX714290	Pseudomonas	sp. L10.10	
PeuTaet2	AB680089	Pseudomonas taetrolens	NBRC 3460	
PeuLunde	AB021395	Pseudomonas lundensis	ATCC 49968	
PeuConge	AJ492828	Pseudomonas congelans	DSM 14939	
PeuSyrin	DQ318866	Pseudomonas syringae pv. syringae	NCPPB 281	
PeuFicus	AB021378	Pseudomonas ficuserectae	JCM 2400	
PeuCera2	LN713316	Pseudomonas cerasi	58	
PeuAmygd	Z76654	Pseudomonas amygdali	LMG 2123	
PeuAvel7	AKBS01001374	Pseudomonas avellanae BPIC 631	BPIC 631	
PeuCanna	AJ492827	Pseudomonas cannabina	CFBP 2341	
PeuCaric	D84010	Pseudomonas caricapapayae	ATCC 33615	
PeuCic13	AB021398	Pseudomonas cichorii	ATCC 10857	
PeuSavas	AB021402	Pseudomonas savastanoi	ATCC 13522	
PeuTrema	AJ492826	Pseudomonas tremae	CFBP 6111	
PeuMande	AF058286	Pseudomonas mandelii	CIP 105273	
PeuSiles	KX276592	Pseudomonas silesiensis	A3	
PeuFrede	AJ249382	Pseudomonas frederiksbergensis	JAJ28	
PeuCasp2	HG805773	Pseudomonas caspiana	FBF102	
PeuS3139	EU912472	Pseudomonas sesami	SI-P133	
PeuSapon	FM208264	Pseudomonas saponiphila	DSM 9751	
PeuProte	AJ278812	Pseudomonas protegens	CHA0	
Peu12504	MN865785	Pseudomonas	sp. IzPS43_3003	
PeuMoore	AM293566	Pseudomonas moorei	RW10	
PeuVanco	AJ011507	Pseudomonas vancouverensis	DhA-51	
PeuLaur2	NIRS01000000	Pseudomonas laurylsulfatiphila	AP3_16	
PeuS7398	MF554631	Pseudomonas	sp. AP3_22	
PeuMohni	AM293567	Pseudomonas mohnii	IpA-2	
PeuJesse	AF068259	Pseudomonas jessenii	CIP 105274	
PeuReine	AM293565	Pseudomonas reinekei	MT1	
PeuUmson	AF468450	Pseudomonas umsongensis	Ps 3-10	
PeuBaeti	FM201274	Pseudomonas baetica	a390	
Peu12502	MN396717	Pseudomonas	sp. PS14	
PeuMorav	AY970952	Pseudomonas moraviensis	CCM 7280	
PeuKoree	AF468452	Pseudomonas koreensis	Ps 9-14	
PeuSpeci	HG764746	Pseudomonas granadensis	F-278,770	
